description,keywords,title,sentiment
KBR has signed a joint development deal with ISU Chemical to develop and design commercial-scale lithium sulfide plants. This technology will play a valuable role in helping the industry transition towards more efficient utilization of renewable energy.,"['KBR', 'lithium sulfide', 'all-solid-state batteries', 'renewable energy']","KBR to Develop Commercial-Scale Li2S Units, Aids Technology",positive
"U.S. Bancorp's subsidiary Elavon has launched a new point-of-sale solution called 'talech Terminal' to help small business owners manage their operations more efficiently. The platform offers a range of features, including payment acceptance, inventory management, and employee management support.","['U.S. Bancorp', 'Elavon', 'talech Terminal', 'point-of-sale', 'small business', 'payments']",U.S. Bancorp's (USB) Arm Elavon Launches Talech Terminal,positive
"SP Group A/S held its Annual General Meeting, where the annual report was adopted, a dividend of DKK 3.00 per share was granted, and the board members were re-elected, with Marie Bakholdt Lund being elected as a new board member.","['SP Group A/S', 'Annual General Meeting', 'dividend', 'board members']",Course of Annual General Meeting in SP Group A/S on 27 April 2023,neutral
"AT&T is reportedly considering options for its 70% stake in DirecTV, as the pay-TV provider has struggled with subscriber losses. The company is exploring various options, including a potential sale or bringing in a new investor, as it aims to better align its communications business with a focused capital allocation strategy.","['AT&T', 'DirecTV', 'pay-TV', 'subscriber losses', 'capital allocation']",Is AT&T (T) Exploring DirecTV Stake Options for Core Focus?,neutral
"Travere Therapeutics announced that it has granted inducement equity grants to three new employees, consisting of restricted stock units covering an aggregate of 13,750 shares of its common stock. These grants were made as inducements material to the new employees entering into employment with Travere.","['Travere Therapeutics', 'inducement equity grants', 'restricted stock units']",Travere Therapeutics Reports Inducement Grants Under Nasdaq Listing Rule 5635(c)(4),positive
"Mondelez, the maker of Oreo cookies, Cadbury chocolate, and Trident gum, has a history of beating earnings estimates, particularly in the last two quarters. With a positive Earnings ESP and a Zacks Rank #3, the company is well-positioned to continue its earnings surprise streak.","['earnings', 'earnings-beat', 'earnings-esp', 'earnings-estimates', 'earnings-streak', 'zacks-consensus-estimate']",Why Mondelez (MDLZ) is Poised to Beat Earnings Estimates Again,positive
"Targa Resources Corp. announced that it will participate in investor meetings at the Wolfe Research Utilities, Midstream and Clean Energy Conference on September 27, 2023.","['Targa Resources Corp.', 'midstream services', 'natural gas', 'NGLs', 'crude oil']","Targa Resources Corp. to Participate in Wolfe Research Utilities, Midstream and Clean Energy Conference",positive
"Upstart stock has seen a 240% gain in 2023, outperforming the Nasdaq Composite Index. However, the article suggests that the stock's performance is driven more by market sentiment than the company's weak fundamentals, which include declining revenue and profitability.","['Upstart', 'stock performance', 'market sentiment', 'fundamentals']","If I'd Bought $1,000 Worth of Upstart Stock at the Start of 2023, Here's How Much I Would Have Today",negative
"Insiders are aggressively buying shares in Clene, NETSOL Technologies, and Rekor Systems, all penny stocks under $3. The insider purchases indicate their confidence in the companies' prospects.","['insider trading', 'penny stocks', 'Clene', 'NETSOL Technologies', 'Rekor Systems']",Clene And 2 Other Stocks Under $3 Insiders Are Aggressively Buying,positive
"The article discusses NXP Semiconductors as an underappreciated AI chip stock that could be a low-cost alternative to the expensive Nvidia stock, which has seen a significant price increase recently.","['AI', 'chip stocks', 'NXP Semiconductors', 'Nvidia']",Missed Out on Nvidia's Skyrocketing Trillion-Dollar AI Run? Here's My Best AI Chip Stock to Buy Now and Hold Forever.,negative
"Array Technologies, Inc. is expected to report earnings growth for the quarter ended March 2023, but the company's Earnings ESP suggests it may miss the consensus estimate. Shoals Technologies Group, another stock in the solar industry, is also expected to report earnings, but its Earnings ESP indicates it may not beat the consensus.","['Array Technologies', 'Shoals Technologies Group', 'earnings', 'earnings expectations', 'Earnings ESP']","Array Technologies, Inc. (ARRY) Reports Next Week: Wall Street Expects Earnings Growth",neutral
"Zevra Therapeutics, a rare disease therapeutics company, has filed its definitive proxy statement for its 2023 Annual Meeting of Stockholders. The company is urging shareholders to vote for the re-election of its three directors, Richard W. Pascoe, David S. Tierney, M.D., and Christopher A. Posner, on the WHITE proxy card.","['Zevra Therapeutics', 'Annual Meeting', 'Board of Directors', 'Proxy Statement']",Zevra Therapeutics Files Definitive Proxy Statement and Mails Letter to Shareholders,positive
"Financial Institutions reported Q3 earnings of $0.88 per share, beating the Zacks Consensus Estimate of $0.86. However, the company's revenues of $52.16 million missed the consensus estimate. The stock has underperformed the S&P 500 so far this year.","['earnings', 'earnings-estimates', 'earnings-outlook', 'earnings-surprise', 'industry-outlook', 'zacks-consensus-estimate', 'zacks-rank']",Financial Institutions (FISI) Q3 Earnings Top Estimates,neutral
"General Electric's Gas Power business announced the successful commercial operations of JERA's 1.5 Gigawatt Futtsu Power Plant in Japan, which uses three GE 9HA.01 gas turbines. The upgrade allows the power plant to offer enhanced performance, efficiency, and reduced CO2 emissions.","['General Electric', 'JERA', 'Futtsu Power Plant', 'gas turbines', 'power generation', 'efficiency', 'emissions']",General Electric (GE) Upgrades Futtsu Power Plant in Japan,positive
"AXIS Capital Holdings Limited (AXS) is poised for growth, with analysts projecting a 41.4% increase in 2023 earnings and a 12.4% increase in 2024 earnings. The company is benefiting from an increase in lines of business, new business growth, strong retentions, and prudent capital deployment. The stock currently has a Zacks Rank #1 (Strong Buy) and an attractive valuation.","['AXIS Capital Holdings Limited', 'earnings growth', 'business growth', 'capital deployment', 'valuation']",Reasons Why AXIS Capital (AXS) Stock is an Attractive Pick Now,positive
"Space stocks like Virgin Galactic, AST SpaceMobile, and BlackSky Technology are seeing a surge in investor interest this week as SpaceX launches another private astronaut mission to the International Space Station and Virgin Galactic prepares for its own space flight. However, the companies still need to find a way to become profitable before they can be considered more than speculative investments.","['space stocks', 'SpaceX', 'Virgin Galactic', 'AST SpaceMobile', 'BlackSky Technology']","Why Virgin Galactic, BlackSky, and AST SpaceMobile Stocks All Popped Today",positive
"Heska, a maker of veterinary products, is expected to post higher earnings on lower revenues in Q4 2022. Analysts have become more bullish on the company's earnings prospects, resulting in a positive Earnings ESP. The article also discusses the expected results of another industry player, Denali Therapeutics Inc.","['earnings', 'consensus outlook', 'earnings surprise', 'Heska', 'Denali Therapeutics']",Heska (HSKA) Earnings Expected to Grow: Should You Buy?,neutral
"City Holding (CHCO) has been upgraded to a Zacks Rank #2 (Buy), reflecting an upward trend in earnings estimates. This positive outlook is expected to translate into buying pressure and an increase in the stock price.","['earnings-estimates', 'earnings-estimates-revisions', 'earnings-outlook', 'rating-upgrade', 'stock-price-movement', 'zacks-consensus-estimate', 'zacks-rank']",City Holding (CHCO) Upgraded to Buy: What Does It Mean for the Stock?,positive
"MFA Financial reported Q2 earnings of $0.40 per share, beating the Zacks Consensus Estimate of $0.34 per share. The company's revenues of $44.51 million also surpassed the consensus estimate. However, the stock has underperformed the S&P 500 so far this year.","['earnings', 'earnings-estimates', 'earnings-outlook', 'earnings-surprise', 'industry-outlook', 'zacks-consensus-estimate', 'zacks-rank']",MFA Financial (MFA) Q2 Earnings and Revenues Top Estimates,positive
"The article discusses three companies - Johnson & Johnson, Medtronic, and Ally Financial - that have a history of consistently raising their dividend payouts, making them attractive options for long-term investors looking to generate passive income in retirement.","['dividend stocks', 'retirement', 'Johnson & Johnson', 'Medtronic', 'Ally Financial']",3 Outstanding Dividend Stocks You Can Buy Now and Hold Forever,positive
"The article discusses three dividend stocks that are considered compelling income investments for investors with around $1,000 to invest this May: Prologis, Crown Castle, and Western Alliance Bancorp. The article provides an analysis of each company's current position and growth prospects.","['dividend stocks', 'income investments', 'Prologis', 'Crown Castle', 'Western Alliance Bancorp']","Investing $1,000 in These 3 Dividend Stocks Would Be a Smart Move This May",positive
"11 analysts have an average price target of $33.09 for Marathon Oil (MRO), implying an upside from the current price of $24.65. The analysts have a mix of ratings, with some being bullish and others bearish on the stock.","['Marathon Oil', 'analyst ratings', 'price target']",11 Analysts Have This to Say About Marathon Oil,positive
"Walgreens Boots Alliance (WBA) has been attracting investor attention recently. The company's earnings estimates have been revised, and its valuation appears favorable compared to its peers. However, the Zacks Rank #3 (Hold) suggests the stock may perform in line with the broader market in the near term.","['Walgreens Boots Alliance', 'earnings estimates', 'valuation', 'Zacks Rank']","Walgreens Boots Alliance, Inc. (WBA) is Attracting Investor Attention: Here is What You Should Know",neutral
Allogene Therapeutics announced an encore presentation of data from the Phase 1 ALPHA/ALPHA2 trials of ALLO-501/501A at the European Hematology Association (EHA) Hybrid Congress. The data will also be presented at the American Society of Clinical Oncology (ASCO) Annual Meeting.,"['Allogene Therapeutics', 'ALLO-501', 'ALLO-501A', 'Phase 1 trials', 'large B cell lymphoma']",Allogene Therapeutics Announces Encore Presentation of Phase 1 Data from the ALLO-501/501A Trials in Large B Cell Lymphoma at the European Hematology Association (EHA) Hybrid Congress,positive
"Heritage Insurance (HRTG) is a value stock with a Zacks Rank of #2 (Buy) and an 'A' grade in the Value category. The company's valuation metrics, such as a low P/E ratio and P/B ratio, suggest it is undervalued compared to its industry peers.","['value investing', 'Heritage Insurance', 'valuation metrics']",Are Investors Undervaluing Heritage Insurance (HRTG) Right Now?,positive
"Amazon's stock has underperformed the broader market over the past month, with shares returning -8.6% compared to the S&P 500's -5.2% change. The company's earnings estimates for the current quarter and fiscal year have remained unchanged over the last 30 days, indicating stable expectations. However, Amazon's valuation appears to be trading at a premium compared to its peers.","['Amazon', 'earnings estimates', 'valuation']","Is Trending Stock Amazon.com, Inc. (AMZN) a Buy Now?",neutral
"The article discusses DraftKings (DKNG) as a strong momentum pick, citing its recent price performance, earnings estimate revisions, and Zacks Rank. The article suggests that DraftKings is a great choice for investors looking for a top momentum stock.","['momentum investing', 'DraftKings', 'stock performance', 'earnings estimates']",Are You Looking for a Top Momentum Pick? Why DraftKings (DKNG) is a Great Choice,positive
"Amazon's stock has declined significantly, presenting a rare buying opportunity for long-term investors. Despite economic headwinds, Amazon's dominant positions in e-commerce, digital advertising, and cloud computing make it well-positioned for growth in the coming years.","['Amazon', 'FAANG', 'Recession', 'E-commerce', 'Digital Advertising', 'Cloud Computing']",This FAANG Stock Is a Once-in-a-Decade Buying Opportunity (Even If We Get a Recession),positive
"Silvercorp Metals (SVM) has outperformed its peers in the Basic Materials sector so far this year, with a 10.8% return compared to the sector's 8.3% average. Another outperformer is TimkenSteel, which has returned 26.6% year-to-date. Analysts have also revised their earnings estimates for both companies upwards, indicating a positive outlook.","['Silvercorp Metals', 'TimkenSteel', 'Basic Materials sector', 'earnings estimates']",Is Silvercorp Metals (SVM) Outperforming Other Basic Materials Stocks This Year?,positive
"The article discusses the top 3 performers in the Nasdaq 100 index so far in 2023: Nvidia, Meta Platforms, and Tesla. It analyzes the companies' recent financial results and stock performance, highlighting their growth and valuation metrics.","['Nasdaq 100', 'Nvidia', 'Meta Platforms', 'Tesla', 'stock performance', 'financial results']",Should You Still Buy the Nasdaq's Best-Performing Stocks?,positive
"The article discusses two stocks - Tesla and Macy's. It recommends buying Tesla ahead of its Investor Day event, citing the company's growth strategy and expansion plans as potential catalysts. On the other hand, it suggests selling Macy's as the department store chain's upcoming earnings report is expected to reveal a slowdown in profit and revenue growth due to macroeconomic and operational challenges.","['Tesla', ""Macy's"", 'stock recommendations', 'earnings', 'economic outlook']","1 Stock to Buy, 1 Stock to Sell This Week: Tesla, Macy’s",positive
"Edison International reported Q1 2023 earnings of $1.09 per share, beating the Zacks Consensus Estimate of $1.04. However, the company's revenues of $3.97 billion missed the consensus estimate. The stock has outperformed the S&P 500 so far this year.","['earnings', 'earnings-estimates', 'earnings-outlook', 'earnings-surprise', 'industry-outlook', 'zacks-consensus-estimate', 'zacks-rank']",Edison International (EIX) Surpasses Q1 Earnings Estimates,positive
"Global Water Resources, Inc. has declared a monthly cash dividend of $0.02483 per common share, payable on November 30, 2023. The company is a leading water resource management company that owns and operates 29 systems providing water, wastewater, and recycled water services in the metropolitan Phoenix area.","['water management', 'dividend', 'recycled water']",Global Water Resources Declares Monthly Dividend,positive
"The article discusses the Q1 2023 earnings results of major banks like JPMorgan, Citigroup, and Wells Fargo. The results were generally positive, with higher interest rates helping expand margins, though investment banking was weaker. The article also discusses the impact of the Silicon Valley Bank failure on smaller regional banks.","['banking', 'earnings', 'JPMorgan', 'Citigroup', 'Wells Fargo', 'Silicon Valley Bank']","JPMorgan, Citigroup and even Wells Fargo are part of Zacks Earnings Preview",positive
"Nu Skin is hosting its 20th annual Force for Good Day, focusing on supporting children's health and well-being. The company is making a $1.5 million donation to Primary Children's Hospital in Utah and organizing service projects to assemble kits and donate hygiene products for hospitalized children worldwide.","['Nu Skin', 'Force for Good Day', ""Primary Children's Hospital"", ""children's health"", 'humanitarian efforts']",Nu Skin Celebrates 20th Annual Force for Good Day with Global Day of Service,positive
"Analog Devices reported strong Q1 results, beating earnings and revenue estimates. The company's performance was driven by growth across the industrial, automotive, and communications markets. Analog Devices provided positive guidance for Q2, indicating continued momentum.","['Analog Devices', 'earnings', 'revenue', 'guidance', 'industrial', 'automotive', 'communications']",Why Is Analog Devices (ADI) Down 3.7% Since Last Earnings Report?,positive
"Peloton Interactive, Inc. (NASDAQ: PTON) will release its third quarter fiscal 2023 results on May 4, 2023, and host a conference call and webcast to discuss the results.","['Peloton', 'earnings', 'conference call', 'webcast']","Peloton Interactive, Inc. Announces Third Quarter Fiscal 2023 Earnings Release Date, Conference Call and Webcast",neutral
"Packaging Corp. is expected to report a year-over-year decline in earnings and lower revenues for the quarter ended June 2023. The company's earnings report on July 24, 2023, will be closely watched to see if the actual results can beat the consensus estimates.","['earnings', 'consensus outlook', 'earnings expectations', 'earnings surprise']",Earnings Preview: Packaging Corp. (PKG) Q2 Earnings Expected to Decline,negative
"Industrial production rebounded in July, driven by increased manufacturing, mining, and utility output. The outlook remains positive for sectors like mining, construction, and farm equipment, supported by strong demand and technological advancements.","['industrial production', 'manufacturing', 'mining', 'utilities', 'construction', 'farm equipment']",5 Industrial Product Stocks to Buy on Solid July Data,positive
"WEC Energy Group reported Q2 2023 earnings that beat estimates, but revenues missed. Electricity consumption by small commercial and industrial customers increased slightly, while large commercial and industrial customers saw a decline. The company reaffirmed its 2023 earnings guidance.","['earnings', 'revenue', 'electricity consumption', 'guidance']",Why Is WEC Energy (WEC) Down 4.8% Since Last Earnings Report?,neutral
"Snap Inc. (SNAP) has seen a significant decline in its stock price over the past month, underperforming the broader market and its industry. The company's earnings estimates have also been revised downward, indicating a potential near-term challenge. However, the article suggests that Snap's future performance will depend on its ability to grow revenues and maintain a favorable valuation compared to its peers.","['Snap Inc.', 'earnings estimates', 'revenue growth', 'valuation']",Snap Inc. (SNAP) Is a Trending Stock: Facts to Know Before Betting on It,neutral
"Tesla is leading the charge in electric vehicles and self-driving technology, with its Cybertruck and Dojo supercomputer set to drive further growth. The company's ability to remain profitable and expand its product portfolio gives it an edge over competitors, making it a top pick among the 'Magnificent 7' tech stocks.","['Tesla', 'Electric Vehicles', 'Artificial Intelligence', 'Self-Driving Technology']","Move Over, FAANG: 1 ""Magnificent 7"" Stock to Buy Hand Over Fist",positive
"Analysts have provided an average price target of $17.5 for CNX Resources, with a high of $19.00 and a low of $16.00. The average price target has increased by 4.48% over the past month.","['CNX Resources', 'analyst ratings', 'price target']",Analyst Ratings for CNX Resources,positive
"Pediatrix Medical Group reported Q2 2023 earnings, with adjusted EPS meeting estimates but declining 17% year-over-year. Revenue rose 3% but was offset by higher practice salaries and benefits, and interest expenses. The company reaffirmed its 2023 adjusted EBITDA guidance.","['Pediatrix Medical Group', 'Q2 2023 earnings', 'adjusted EPS', 'revenue', 'practice salaries and benefits', 'interest expenses', '2023 guidance']","Pediatrix (MD) Q2 Earnings Meet Estimates, Revenues Up Y/Y",neutral
"ExxonMobil posted its best year for profits in 135 years, driven by years of strategic investments in production and refining capacity. The company was able to capitalize on the current favorable market conditions, which include supply constraints and high energy prices.","['ExxonMobil', 'oil and gas industry', 'refining capacity', 'supply and demand']",This Stock Just Became One of the Most Profitable Companies on the Market,positive
"Western Alliance, a bank holding company, closed at $35.52, lagging the S&P 500's daily gain. The company is expected to report a year-over-year decline in earnings for its next earnings release.","['Western Alliance', 'bank holding company', 'earnings', 'S&P 500']",Western Alliance (WAL) Gains But Lags Market: What You Should Know,negative
"The article discusses whether Flexible Solutions International (FSI) is currently undervalued by investors. It highlights the company's strong value metrics, such as a low P/S ratio and P/CF ratio, suggesting that the stock may be a good value investment opportunity.","['Flexible Solutions International', 'value investing', 'valuation metrics']",Are Investors Undervaluing Flexible Solutions International (FSI) Right Now?,positive
"The article discusses three companies - CRISPR Therapeutics, Axsome Therapeutics, and Pfizer - that investors can buy with just $100. CRISPR Therapeutics is a biotech company with promising gene-editing technology, Axsome Therapeutics has launched two new drugs and has a strong pipeline, and Pfizer is transitioning its business but has a robust pipeline of new products.","['CRISPR Therapeutics', 'Axsome Therapeutics', 'Pfizer', 'biotech', 'gene-editing', 'pharmaceuticals']",The Top Healthcare Stocks to Buy With $100,positive
"Palo Alto Networks is a leading cybersecurity company that is well-positioned to benefit from the growing demand for cybersecurity solutions as organizations increasingly invest in protecting their digital assets. The company's strong financial performance, product innovation, and positive analyst sentiment make it an attractive investment opportunity.","['cybersecurity', 'Palo Alto Networks', 'cloud security', 'network security', 'security operations']","1 Unstoppable Growth Stock to Buy Hand Over Fist, According to Wall Street",positive
"Air Lease Corporation reported better-than-expected third-quarter 2023 results, with earnings and revenues surpassing the Zacks Consensus Estimate. The company's fleet growth and increased sales activity drove the positive performance, despite higher interest expenses.","['Air Lease Corporation', 'earnings', 'revenues', 'fleet growth', 'sales activity', 'interest expense']","Air Lease (AL) Q3 Earnings & Revenues Top Estimates, Up Y/Y",positive
"The article discusses the latest analyst ratings for Philip Morris International (PM), with 6 analysts having an average price target of $115, implying upside potential. The analysts' ratings and price targets have been summarized.","['Philip Morris International', 'analyst ratings', 'price target']",The Latest Analyst Ratings for Philip Morris Intl,positive
"Apple and Marathon Oil are both adept at repurchasing their own shares, with Marathon Oil outpacing Apple in recent years. This strategy has enabled Marathon Oil to generate strong total returns, similar to Apple's performance, and the company aims to continue this approach if oil prices remain elevated.","['stock buybacks', 'shareholder value', 'oil and gas', 'technology']",This Oil Stock Is Beating Apple at Its Own Game,positive
"Industry leaders like Cathie Wood and Tom Lee are bullish on Bitcoin, predicting it could reach $1 million or $200,000 in the coming years. Factors like limited supply and growing institutional demand are driving their optimism.","['Bitcoin', 'cryptocurrency', 'price prediction', 'institutional adoption']",Industry Titans Hint At Bitcoin's Million-Dollar Future: Is That Really Going To Happen?,positive
"Super Micro Computer Inc. (SMCI) is a leading provider of data center hardware necessary to run AI applications. Despite supply limitations, SMCI's recent earnings and revenues surged by 34% year-over-year, demonstrating its resilience. The company's partnership with Nvidia and its high return on equity make it an attractive investment in the rapidly growing AI market.","['Super Micro Computer Inc.', 'AI', 'data center hardware', 'Nvidia']",Bull of the Day: Super Micro Computer (SMCI),positive
"UTStarcom, a global telecommunications infrastructure provider, has filed its Annual Report on Form 20-F for the year ended December 31, 2022 with the U.S. Securities and Exchange Commission. The report is available on the SEC EDGAR website and the company's website.","['UTStarcom', 'telecommunications', 'annual report']",UTStarcom Files 2022 Form 20-F,neutral
"The article discusses the strategic choices made by Tesla and Netflix in response to increasing competition, and what those decisions could mean for investors.","['Tesla', 'Netflix', 'competition', 'strategy', 'investors']",Tesla Stock and Netflix Stock: A Business Strategy Case Study,neutral
"Team, Inc. announced the successful closing of a series of refinancing transactions that raised $87.4 million of new funding, including a new $57.5 million term loan and a $27.4 million term loan. The company used the proceeds to repay its existing senior secured term loan and convertible notes, simplifying its capital structure and extending its next debt maturity.","['refinancing', 'capital structure', 'debt maturity']","Team, Inc. Announces Successful Closing of Refinancing Transactions",positive
"Wex (WEX) stock has been beaten down lately, losing 13.2% over the past four weeks. However, the stock is now in oversold territory, and analysts expect the company to report better earnings than previously predicted, indicating a potential trend reversal.","['Wex', 'stock', 'oversold', 'earnings', 'trend reversal']","Down -13.17% in 4 Weeks, Here's Why You Should You Buy the Dip in Wex (WEX)",positive
